#caption|imgurl|linkurl
Baxter Farewell, 6/2013|slides/baxter_farewell.jpg|
Vancouver Dinner Dance 2013|slides/dinner_dance_2013.jpg|http://www.vancouverusa-scd.org/
Youth Weekend 2013|slides/yww_group.jpg|http://youthweekendwest.com/
Portland Ball 2013|slides/ball_2013.jpg|https://www.facebook.com/media/set/?set=a.10200251457463262.1073741825.1057683504&type=3
TAC Summer School, 2012|slides/tac_2012.jpg|https://www.facebook.com/media/set/?set=a.10100560596497036.2538693.11512063&type=3
Portland Ball 2012|slides/ball_2012.jpg|https://www.facebook.com/media/set/?set=a.1978973930209.55984.1718970430&type=3
Highland Games 2011|http://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-ash3/282419_234695516552635_2777667_n.jpg|http://www.facebook.com/media/set/?set=a.234690619886458.61041.141476192541235&type=3
Portland Ball 2008|http://djwong.org/photography/oregon/rscds_ball_2008/dsc_0052.jpg|http://djwong.org/photography/oregon/rscds_ball_2008/
Rose Festival 2007|http://djwong.org/photography/oregon/portland/rose_fest_2007/img_0304.jpg|http://djwong.org/photography/oregon/portland/rose_fest_2007/
Portland Ball 2007|http://djwong.org/photography/oregon/rscds_ball_2007/mmc_3772.jpg|http://djwong.org/photography/oregon/rscds_ball_2007/
Portland Ball 2006|http://djwong.org/photography/oregon/portland/rscds_ball06/a3110316.jpg|http://djwong.org/photography/oregon/portland/rscds_ball06/
